Review,Sentiment
I am very dissatisfied with this DRONE.,Negative
I am thrilled with this lamp.,Positive
I am very dissatisfied with this webcam.,Negative
This lamp is a forgettable experience.,Neutral
"Terrible webcam, total waste of money.",Negative
The lamp is worth every penny.,Positive
The speaker is a bad item.,Negative
<br/> This air fryer IS a bad model. <br/>,Negative
This desk is a forgettable buy.,Neutral
The fan is a forgettable option.,Neutral
The vacuum is a competent but basic item.,Neutral
This heater is a forgettable item.,Neutral
"Terrible heater, total waste of money. 3x",Negative
Worst drone I have ever purchased.,Negative
The tablet is fine but could be better.,Neutral
This heater is a forgettable item.,Neutral
The vacuum is a tolerable purchase.,Neutral
This microwave is a game changer.,Positive
The blanket is a bad buy overall.,Negative
This lamp is a waste of time.,Negative
"My favorite purchase this year, this microwave.",Positive
The earbuds is a forgettable thing.,Neutral
This pillow is a forgettable choice.,Neutral
"Superb fan, I am a happy CUSTOMER. 🔥",Positive
The pillow is a great find.,Positive
The desk is worth every penny.,Positive
The laptop is a bad thing overall.,Negative
This charger is a bad product.,Negative
"My favorite purchase this year, this drone.",Positive
So pleased with this laptop.,Positive
The monitor is stylish and functional.,Positive
The phone is mediocre at best.,Neutral
<br> The  vacuum  is a wonderful experience. <i>,Positive
The headphones is a wonderful experience.,Positive
This webcam is decent but not great.,Neutral
This phone makes life so much easier.,Positive
Brilliant tablet with great FEATURES.,Positive
The webcam is a bad choice.,Negative
The speaker is a bad buy.,Negative
The laptop is a so so purchase.,Neutral
The  charger  IS a bad thing overall. 👍,Negative
The webcam is a top quality item.,Positive
"The vacuum is okay, nothing special.",Neutral
This keyboard is a lifesaver.,Positive
The tablet is a bad option overall.,Negative
"Average quality speaker, does the job.",Neutral
This microwave is a total winner.,Positive
I am very upset with this blender.,Negative
I am blown away by this microphone.,Positive
This heater is a plain heater.,Neutral
The earbuds is a forgettable model.,Neutral
The earbuds is a wonderful experience.,Positive
"The watch is superb, five stars!",Positive
The phone is a bad buy.,Negative
I cannot stop using this microwave.,Positive
The  laptop  is a forgettable item. 🙄 Visit https://www.productlink.com/page1,Neutral
I regret buying this desk.,Negative
The laptop is a bad investment.,Negative
This camera is a FORGETTABLE purchase. Visit https://amzn.to/3xyz,Neutral
This heater is a bad experience overall.,Negative
This  mouse  is a complete failure. 4567,Negative
The chair is neither good nor bad.,Neutral
The earbuds is a bad option.,Negative
This laptop is a middle of the road option.,Neutral
</p>  This  microphone is a bad thing. </p> 3x,Negative
This mouse is a forgettable device.,Neutral
This watch is a lifesaver.,Positive
This fan is a serviceable option.,Neutral
The keyboard is worth every penny.,Positive
The microphone stopped working immediately.,Negative
The webcam is a forgettable option.,Neutral
This backpack is a forgettable thing.,Neutral
I am very disappointed by this printer. 👍,Negative
The blender is a forgettable model. Visit http://review.example.com 4567,Neutral
The phone is fine but could be better.,Neutral
The watch is a letdown.,Negative
This microphone is a bad item overall.,Negative
The camera is poorly made.,Negative
This speaker is a serviceable option.,Neutral
This drone is a forgettable item.,Neutral
The charger does not work as advertised.,Negative
The laptop broke after one week.,Negative
The mouse is a bad choice overall.,Negative
The mouse is a forgettable purchase.,Neutral
This chair is a great addition to my home.,Positive
The printer is worth every penny.,Positive
The microphone is a bad device. 😊,Negative
The webcam is a fantastic deal.,Positive
The blanket is a fantastic investment.,Positive
This microwave is a brilliant design.,Positive
<p> The BACKPACK is functional but plain. <b>,Neutral
This monitor is a huge disappointment.,Negative
"This desk is a scam, do not buy.",Negative
This desk is a forgettable choice.,Neutral
I am very frustrated by this keyboard.,Negative
The webcam is a forgettable thing.,Neutral
This monitor is a bad device.,Negative
The printer is a bad device overall.,Negative
The desk is a letdown.,Negative
The laptop does not work as advertised.,Negative
This pillow is a great investment.,Positive
This blanket is a great buy.,Positive
This air fryer is a great choice.,Positive
The camera is a bad MODEL.,Negative
The microwave is a reasonable choice.,Neutral
"This webcam is a scam, do not buy.",Negative
This heater is a forgettable purchase.,Neutral
This camera is a great choice.,Positive
The earbuds is a forgettable thing.,Neutral
This  fan  is a forgettable thing. 3x 😐,Neutral
I love this mouse!,Positive
<b> The microphone is A bad item. Visit http://review.example.com <b>,Negative
The air fryer stopped working immediately.,Negative
<br> The phone is a bad buy. <i>,Negative
This watch is a forgettable option.,Neutral
The lamp is a fantastic investment. Visit https://amzn.to/3xyz 50%,Positive
The toaster is adequate for everyday use.,Neutral
This tablet is average in every way.,Neutral
This fan is a bad deal.,Negative
The headphones is a bad buy.,Negative
The tablet is a competent but basic item.,Neutral
The mouse is a forgettable model.,Neutral
So pleased with this router.,Positive
This toaster is nothing to write home about.,Neutral
The heater is a forgettable thing.,Neutral
"The router is superb, five stars!",Positive
The monitor is a basic model. 🔥,Neutral
I am very upset with this lamp.,Negative
This phone is a forgettable device.,Neutral
"My favorite purchase this year, this watch.",Positive
The heater is a forgettable thing.,Neutral
The toaster is passable but unremarkable.,Neutral
The air fryer is durable and well built.,Positive
The drone is a forgettable device.,Neutral
THIS camera is a piece of junk.,Negative
This webcam is a great choice.,Positive
The lamp is adequate for everyday use.,Neutral
So pleased with this heater.,Positive
I am really enjoying this headphones.,Positive
Great quality vacuum for the price.,Positive
The printer is a bad item.,Negative
This monitor is a poor choice.,Negative
I am so glad I bought this headphones.,Positive
The vacuum is a bad option.,Negative
I love this mouse!,Positive
This heater is incredible value.,Positive
I am very frustrated by this watch.,Negative
Best headphones I have ever bought.,Positive
The microphone is a bad thing overall.,Negative
I am extremely satisfied with this earbuds.,Positive
The lamp is a fantastic product overall.,Positive
This mouse changed my daily routine.,Positive
The vacuum is adequate for everyday use.,Neutral
This air fryer is a great choice.,Positive
This router is a forgettable option.,Neutral
The earbuds is a wonderful experience.,Positive
The earbuds is a standard offering.,Neutral
The tablet is a forgettable device.,Neutral
This desk is just okay.,Neutral
</p> This  webcam  is a real bargain. </b>,Positive
I AM very dissatisfied by this laptop.,Negative
The camera is a bad option.,Negative
<br> This  router  is a forgettable purchase. </p>,Neutral
The camera is a forgettable deal.,Neutral
This webcam is a typical webcam.,Neutral
This blender is a piece of junk.,Negative
This monitor is a bad product overall.,Negative
This microwave is a dud.,Negative
The keyboard is a competent but basic item.,Neutral
This blanket is a forgettable thing.,Neutral
The speaker is a bad device.,Negative
I am extremely satisfied with this drone.,Positive
This charger is awful and cheap.,Negative
The microwave is passable but unremarkable.,Neutral
"Superb router, I am a happy customer.",Positive
The chair is overpriced and useless.,Negative
The air fryer is a bad choice.,Negative
The earbuds is a pleasure to work with.,Positive
The monitor is a forgettable option.,Neutral
The desk is a tolerable purchase.,Neutral
The drone is a forgettable thing.,Neutral
This blender is a waste of time.,Negative
This webcam is a great choice.,Positive
This pillow is a great investment.,Positive
The heater is a forgettable item.,Neutral
The monitor is a forgettable thing. Visit HTTPS://ABC.COM 😐,Neutral
"Amazing microwave, highly recommend it.",Positive
This blender is a bad deal overall.,Negative
The microphone works fine for basic needs.,Neutral
This chair is incredible value.,Positive
The tablet is mediocre at best.,Neutral
I am very unhappy with this charger.,Negative
This microwave is a forgettable device.,Neutral
The desk is a forgettable buy.,Neutral
The earbuds is a bad item.,Negative
I am so glad I bought this webcam.,Positive
This backpack is decent but not great.,Neutral
This backpack is a bad deal.,Negative
This desk is a modest purchase.,Neutral
The blanket is a forgettable purchase.,Neutral
The pillow is poorly made.,Negative
This printer is a forgettable device.,Neutral
This earbuds is a bad deal overall.,Negative
This camera is a serviceable option.,Neutral
I am thrilled with this fan.,Positive
The camera stopped working immediately.,Negative
The pillow is a bad purchase.,Negative
The tablet is a bad deal.,Negative
The mouse is stylish and functional.,Positive
I am very dissatisfied by this backpack.,Negative
The microphone is fine but could be better.,Neutral
The headphones is a bad option overall.,Negative
"My favorite purchase this year, this heater.",Positive
I am loving THIS toaster so much.,Positive
The charger is a bad investment.,Negative
The printer is a bad item.,Negative
This router is a bad deal overall.,Negative
This laptop is a complete failure.,Negative
The desk is a passable product.,Neutral
The backpack is worth every penny.,Positive
This monitor is a great value for money.,Positive
I  am  loving this mouse so much. Visit https://www.productlink.com/page1 50%,Positive
Best backpack I have ever bought.,Positive
"Terrible fan, total waste of MONEY.",Negative
This fan is simply the best.,Positive
The microwave is stylish and functional.,Positive
This monitor is a forgettable deal.,Neutral
This laptop is a must have.,Positive
This chair is a forgettable choice.,Neutral
This fan is a bad product.,Negative
The tablet is a forgettable deal.,Neutral
This printer is a bust.,Negative
This monitor is a forgettable buy.,Neutral
The  watch  is poorly made.,Negative
This lamp is a total winner.,Positive
This lamp is A great buy.,Positive
The lamp is a tolerable purchase.,Neutral
I am very happy with this desk.,Positive
This tablet is a bad item overall.,Negative
This drone is a typical drone.,Neutral
The vacuum is a pleasure to work with.,Positive
The  chair  is a bad option overall. 4567,Negative
The router is a flop.,Negative
This desk is a complete failure.,Negative
This microwave is a bad device.,Negative
<p> This vacuum is a forgettable item. <i> 😍,Neutral
I am blown away by this camera.,Positive
This drone is a bad product overall.,Negative
This air fryer is a bad model.,Negative
So pleased with this watch.,Positive
I am so glad I bought this toaster.,Positive
"My  FAVORITE  purchase this year, this drone.",Positive
The tablet is a basic model.,Neutral
The MICROPHONE is powerful and compact. 4567,Positive
I regret buying this webcam.,Negative
This mouse is a modest purchase.,Neutral
The microphone is a competent but basic item.,Neutral
This microwave is a great buy.,Positive
"The laptop is okay, nothing special.",Neutral
I am very angry about this microwave.,Negative
The headphones is a bad buy overall.,Negative
<br/> This keyboard is wonderful and easy to use. </p>,Positive
The headphones is durable and well built.,Positive
The blanket is a forgettable option.,Neutral
This toaster is a modest purchase.,Neutral
This air fryer is a forgettable purchase.,Neutral
The router is a great find.,Positive
This lamp is a bad thing.,Negative
This laptop is a forgettable option. Visit https://www.productlink.com/page1,Neutral
The toaster is a bad experience.,Negative
The blender is a bad deal.,Negative
I am very impressed with this toaster.,Positive
This router is a common model.,Neutral
This router is a great choice.,Positive
The webcam is A reasonable choice. 😡 2nd,Neutral
This camera is a complete failure.,Negative
I am extremely satisfied with this blender.,Positive
The blender is a passable product.,Neutral
The vacuum does not work as advertised.,Negative
I am very frustrated with this heater.,Negative
This phone is acceptable for the price.,Neutral
The backpack is a bad buy.,Negative
This air fryer is a disaster.,Negative
This drone is a bad device.,Negative
This desk is a modest purchase.,Neutral
This speaker is a lifesaver.,Positive
The lamp is a bad model.,Negative
I am very annoyed with this monitor.,Negative
This printer is a real bargain.,Positive
This microwave is a joy to own.,Positive
This phone is a modest purchase.,Neutral
The heater is stylish and functional.,Positive
The chair is a nightmare to set up.,Negative
The blanket is a bad device.,Negative
This speaker is wonderful and easy to use.,Positive
The pillow is a standard offering.,Neutral
This camera is a great value for money.,Positive
This microphone is nothing to write home about.,Neutral
The  blender  is a forgettable choice. 😍 123,Neutral
The charger is sleek and modern.,Positive
The microwave is a simple device.,Neutral
The pillow is passable but unremarkable.,Neutral
I am very pleased with this webcam.,Positive
The earbuds is a basic model.,Neutral
The laptop is a standard offering.,Neutral
"Amazing speaker, highly recommend it.",Positive
"Excellent webcam, fast delivery too.",Positive
This microwave is a modest purchase.,Neutral
I am very disappointed by this watch.,Negative
"Excellent chair, fast delivery too.",Positive
The printer is a forgettable option.,Neutral
Best tablet I have ever bought.,Positive
</i>  The  speaker is a fantastic product overall. 100% <br>,Positive
The air fryer is a forgettable option.,Neutral
This watch is a joy to own.,Positive
The monitor is a forgettable deal.,Neutral
"Superb keyboard, I am a happy customer. 2nd",Positive
The desk is a nightmare to set up.,Negative
The camera is a forgettable option.,Neutral
This router is a total winner.,Positive
This fan is a bad deal.,Negative
I am thrilled with this router.,Positive
I am very upset with this headphones.,Negative
The watch is a tolerable purchase. ⭐ 4567,Neutral
I am very frustrated with this vacuum. Visit https://abc.com,Negative
This watch is incredible value.,Positive
The blanket is comfortable and lightweight.,Positive
This backpack is a disaster.,Negative
The mouse is a bad item.,Negative
The monitor is fast and responsive.,Positive
The chair is a simple device.,Neutral
This camera is a real bargain.,Positive
This vacuum is a forgettable thing.,Neutral
The mouse is a bad investment. 😍,Negative
This air fryer is a forgettable purchase.,Neutral
This earbuds is a bad model overall.,Negative
This fan is a bad product.,Negative
I am very impressed by this router.,Positive
The chair is comfortable and lightweight.,Positive
I am very happy with this keyboard.,Positive
The chair is a bad item.,Negative
The MOUSE is a so so purchase.,Neutral
The heater is adequate for everyday use.,Neutral
The tablet is frustrating to use.,Negative
This speaker is a bad THING.,Negative
I am blown away by this router.,Positive
This chair is a bad deal.,Negative
The webcam is a reasonable choice.,Neutral
The phone is a bad experience.,Negative
I love this watch!,Positive
The webcam is a fantastic deal.,Positive
This drone makes life so much easier.,Positive
This watch is wonderful and easy to use.,Positive
This watch is a forgettable choice. 💔,Neutral
This chair is average in every way.,Neutral
This mouse is a bad buy.,Negative
This headphones is a forgettable item.,Neutral
The monitor is a basic model.,Neutral
The air fryer is a so so purchase.,Neutral
The keyboard is a basic model.,Neutral
This drone is a bad product overall.,Negative
The microwave is a forgettable option.,Neutral
This blender is simply the best.,Positive
This earbuds is a forgettable thing.,Neutral
This headphones is a bad purchase overall.,Negative
The watch is a forgettable option. 👎,Neutral
The printer exceeded my expectations.,Positive
I am very impressed with this keyboard.,Positive
Worst router I have ever purchased.,Negative
This pillow is a middle tier option.,Neutral
"Average quality mouse, does the job.",Neutral
<i> I am very impressed BY this chair. 3x </i>,Positive
The earbuds is fine but could be better.,Neutral
The air fryer is a forgettable thing.,Neutral
The camera is a bad option overall.,Negative
This watch is wonderful and easy to use.,Positive
The pillow is a bad deal.,Negative
The backpack is a forgettable item.,Neutral
"Average quality webcam, does the job. 😊 Visit http://review.example.com",Neutral
This air fryer is incredible value.,Positive
Really happy with this vacuum.,Positive
The  camera  is a standard offering. Visit www.checkthis.com 🔥,Neutral
The fan is a run of the mill fan.,Neutral
This keyboard is a typical keyboard.,Neutral
This earbuds is a complete failure.,Negative
This backpack is a typical backpack.,Neutral
The speaker is a bad experience.,Negative
The headphones is sleek and modern.,Positive
This monitor changed my daily routine.,Positive
This air fryer is absolutely perfect.,Positive
This toaster is a game changer.,Positive
The fan does not work as advertised.,Negative
The webcam is a forgettable item.,Neutral
The webcam is fine but could be better.,Neutral
This  headphones  is a real bargain. Visit www.checkthis.com 💔,Positive
This blender is a game changer.,Positive
The fan is functional but plain.,Neutral
The printer is a so so purchase.,Neutral
This headphones is a forgettable choice.,Neutral
This microwave is a forgettable device.,Neutral
I hate this air fryer.,Negative
The camera is a forgettable thing.,Neutral
This webcam is a bad device.,Negative
The tablet is a bad deal.,Negative
</p> The  printer  is a forgettable thing. Visit https://amzn.to/3xyz </i>,Neutral
This  blanket  IS a bad purchase overall. 100%,Negative
Brilliant heater with great features.,Positive
This headphones is a vanilla version.,Neutral
The mouse is a bad experience.,Negative
I am really enjoying this pillow.,Positive
This monitor is a great addition to my home.,Positive
This drone is a bad product overall.,Negative
"I adore this lamp, it is beautiful.",Positive
This vacuum is a forgettable model.,Neutral
The lamp is stylish and functional.,Positive
"This fan is a scam, do not buy.",Negative
The air fryer is neither good nor bad.,Neutral
The blender is sleek and modern.,Positive
</p> THIS pillow is a bad model. Visit www.checkthis.com </i>,Negative
This air fryer IS incredible value. Visit https://www.productlink.com/page1,Positive
This earbuds is a real bargain.,Positive
This  phone  is a bust. Visit http://review.example.com,Negative
This speaker is a forgettable option.,Neutral
This lamp is a bad product overall.,Negative
This backpack is a bad buy.,Negative
This tablet is a lifesaver.,Positive
The fan is fine but could be better.,Neutral
This charger is a bad purchase.,Negative
This  toaster  is awful and cheap.,Negative
This backpack is a total winner.,Positive
</b> This camera is a brilliant design. <b>,Positive
The  blender  is a superb choice.,Positive
The toaster is adequate for everyday use.,Neutral
<br> The pillow is a bad option overall. </b> 2nd,Negative
This charger is a bust.,Negative
This backpack is a great investment.,Positive
</p> This backpack is a forgettable purchase. ⭐ <br> Visit https://abc.com,Neutral
This backpack is a piece of junk.,Negative
I am very pleased with this monitor.,Positive
Worst heater I have ever purchased.,Negative
The keyboard is a forgettable option.,Neutral
The backpack is comfortable and lightweight.,Positive
I am blown away by this drone.,Positive
It is an ordinary watch.,Neutral
This webcam is decent but not great.,Neutral
"This pillow is a scam, do not buy.",Negative
The keyboard is a great find.,Positive
The keyboard is comfortable and lightweight.,Positive
This lamp is a forgettable purchase.,Neutral
I am very angry about this charger.,Negative
This charger is a forgettable item.,Neutral
This router is a bad thing.,Negative
The speaker is a forgettable item. 👍 v2.0,Neutral
The headphones is a top quality item.,Positive
This watch makes life so much easier.,Positive
This air fryer is wonderful AND easy to use.,Positive
The router is a bad item.,Negative
The tablet is a competent but basic item. Visit https://amzn.to/3xyz ⭐,Neutral
This microphone is a serviceable option.,Neutral
The watch is a reasonable choice.,Neutral
This keyboard is a bad purchase. 👎,Negative
This microphone is a huge disappointment.,Negative
I cannot stop using this air fryer.,Positive
This blender is a bad device.,Negative
This router is a must have.,Positive
This vacuum is a dud.,Negative
This blanket is a great investment.,Positive
The monitor is a bad buy.,Negative
"Fantastic charger, would buy again.",Positive
<i> The watch is an unremarkable watch. 👍 </b> Visit http://review.example.com,Neutral
This tablet is wonderful and easy to use.,Positive
So pleased with this fan.,Positive
<p> I am very happy with this monitor. </i>,Positive
"The backpack is okay, nothing special.",Neutral
This laptop is incredible value.,Positive
This blender is a bad product overall.,Negative
This speaker is a great buy.,Positive
"The router is superb, five stars!",Positive
"Fantastic phone, would buy again.",Positive
The air fryer is a bad experience.,Negative
This blanket is a forgettable purchase.,Neutral
The pillow is a forgettable item.,Neutral
The headphones is a bad model.,Negative
This lamp is a forgettable purchase. 🔥 3x,Neutral
The  keyboard  is fast and responsive.,Positive
I am very angry about this monitor.,Negative
The heater is durable and well built.,Positive
The vacuum is a bad investment.,Negative
This tablet is a forgettable choice.,Neutral
"I adore this tablet, it is beautiful.",Positive
This headphones is a bad deal overall.,Negative
This blender is a forgettable device.,Neutral
The earbuds is a reasonable choice.,Neutral
The camera is a bad thing overall.,Negative
The watch is a forgettable choice.,Neutral
This blanket is a bad model.,Negative
This heater makes life so much easier.,Positive
I am very frustrated by this blender.,Negative
The blanket is neither good nor bad.,Neutral
The webcam is a forgettable purchase.,Neutral
The blanket is a bad buy overall.,Negative
I hate this phone.,Negative
I am loving this chair so much.,Positive
The router is comfortable and lightweight.,Positive
The fan is functional but plain.,Neutral
The  air  fryer is a bad option.,Negative
</i> I am VERY pleased with this printer. <br> 2nd,Positive
Worst earbuds I HAVE ever purchased. 🔥,Negative
This heater is a forgettable experience.,Neutral
This lamp is awful and cheap.,Negative
The webcam is a fantastic product overall.,Positive
This charger is a forgettable buy.,Neutral
This mouse is a vanilla version.,Neutral
The headphones is a bad device overall.,Negative
</p> I am very dissatisfied with this speaker. Visit HTTPS://AMZN.TO/3XYZ </i>,Negative
The webcam is a competent but basic item.,Neutral
The fan is fast and responsive.,Positive
This CAMERA is a middle of the road option. 4567 😍,Neutral
The mouse is a great find.,Positive
<br> The  blender  is a mess. <b>,Negative
"Fantastic speaker, would buy again. 100% 👍",Positive
The camera does not work as advertised.,Negative
"My favorite purchase this year, this pillow.",Positive
So pleased with this laptop.,Positive
"My favorite purchase this year, this headphones.",Positive
The microphone is a bad investment.,Negative
"Fantastic webcam, would buy again.",Positive
This  camera  is a typical camera.,Neutral
The mouse is overpriced and useless.,Negative
This FAN is a bad item overall. Visit https://www.productlink.com/page1,Negative
This headphones is a bad purchase overall.,Negative
The speaker is passable but unremarkable.,Neutral
This printer is a bad device.,Negative
The toaster is a top quality item.,Positive
"I adore this fan, it is beautiful.",Positive
I am very disappointed by this desk.,Negative
The speaker is poorly made.,Negative
This fan is a great investment.,Positive
This earbuds is a bad device.,Negative
This phone is a middle tier option.,Neutral
The phone is a solid purchase.,Positive
<br/> The tablet is passable but unremarkable. 100% </b>,Neutral
